Name of the university that you are enrolled in,Degree/Course,Year of study,Current province that you follow online academic activities,Rate you experience in connecting to online learning sessions via your internet service provider ,Are your devices compatible to access the online sessions and install necessary software for your studies ?,From where do you access the online learning platform?,My monthly  internet bundle rental is manageable  ,Rate your satisfaction on the opportunity you get to talk with your lecturer and clear your problems during the online session,Rate your satisfaction on the opportunity you get to talk with your lecturer and clear your problems after the online session via email or online discussion forums ,Rate your satisfaction on your lecturer teaching remotely than teaching face to face in physical class,Can you engage with your peers effectively regarding studies?,content covered during an online session is manageable,Number of online sessions per week is managable ,Time of conducting lectures online are convenient ,Online exams and quizzes are well organized ,Enough time was given to submit your exam answers ,Rate your satisfaction of the grades you received for the online exams
SLIIT,IT,3rd year,Western,3,Yes,From your personal  devices at home,1,3,2,1,It's difficult to get to know and contact with peers from group discussions and social media groups,3,5,4,2,1,3
Uva Wellassa University ,Hospitality Tourism and Events Management,2nd year,Central,3,Yes,From your personal  devices at home,3,4,3,4,Available student forums are not frequently updating but communicating via social media groups,4,5,4,4,4,5
Uva Wellassa University ,Hospitality Tourism and Events Management,2nd year,Western,5,Yes,From your personal  devices at home,5,5,5,4,Can contact with peers easily and enjoys group discussions,4,5,5,3,3,5
Uva Wellassa University ,Science and Technology ,2nd year,Western,2,No,From your personal  devices at home,1,2,3,2,It's difficult to get to know and contact with peers from group discussions and social media groups,2,2,2,1,1,2
Uva Wellassa University ,Science and Technology ,2nd year,Northern,4,Yes,From your personal  devices at home,4,5,5,4,Can contact with peers easily and enjoys group discussions,4,4,4,5,3,5
Uva Wellassa University ,Science and Technology ,2nd year,Southern,2,Yes,From your personal  devices at home,2,3,3,3,Can contact with peers easily and enjoys group discussions,3,3,3,3,2,2
Uva Wellassa University ,Science and Technology ,2nd year,Northern,3,Yes,From your personal  devices at home,1,2,2,3,It's difficult to get to know and contact with peers from group discussions and social media groups,3,4,4,5,1,3
Uva Wellassa University ,Science and Technology ,1st year,Central,3,Yes,From your personal  devices at home,3,4,4,3,Available student forums are not frequently updating but communicating via social media groups,3,3,4,3,2,3
Uva Wellassa University ,Animal Science ,2nd year,Central,5,Yes,From your personal  devices at home,4,5,5,5,Can contact with peers easily and enjoys group discussions,5,5,5,5,4,5
Uva Wellassa University ,Animal Science ,2nd year,Uva,4,Yes,From your personal  devices at home,3,3,3,3,Can contact with peers easily and enjoys group discussions,4,3,4,4,5,4
Uva Wellassa University ,Animal Science ,2nd year,Western,4,Yes,From your personal  devices at home,2,3,2,5,Available student forums are not frequently updating but communicating via social media groups,2,3,3,4,4,5
Uva Wellassa University ,Hospitality Tourism and Events Management,2nd year,Uva,3,Yes,From your personal  devices at home,3,4,3,3,It's difficult to get to know and contact with peers from group discussions and social media groups,4,4,4,4,4,5
Uva Wellassa University ,Science and Technology ,2nd year,Western,4,Yes,From your personal  devices at home,2,4,4,4,It's difficult to get to know and contact with peers from group discussions and social media groups,3,4,4,4,2,4
Uva Wellassa University ,Hospitality Tourism and Events Management,2nd year,North Western,4,No,From your personal  devices at home,2,3,3,2,It's difficult to get to know and contact with peers from group discussions and social media groups,3,4,3,4,2,5
Uva Wellassa University ,Mineral Resources and Technology ,2nd year,Central,3,Yes,From your personal  devices at home,4,3,4,2,Can contact with peers easily and enjoys group discussions,3,5,5,5,5,5
Uva Wellassa University ,Animal Science ,2nd year,Western,3,Yes,From your personal  devices at home,3,3,3,3,It's difficult to get to know and contact with peers from group discussions and social media groups,3,3,3,3,3,3
Uva Wellassa University ,Hospitality Tourism and Events Management,2nd year,Northern,3,Yes,From your personal  devices at home,3,3,4,3,Can contact with peers easily and enjoys group discussions,3,3,3,5,5,4
Uva Wellassa University ,Animal Science ,2nd year,Southern,4,No,From your personal  devices at home,1,5,3,5,Can contact with peers easily and enjoys group discussions,5,4,5,4,4,4
Uva Wellassa University ,Science and Technology ,2nd year,Northern,4,Yes,From your personal  devices at home,4,5,4,5,Can contact with peers easily and enjoys group discussions,4,5,5,5,3,4
Uva Wellassa University ,Hospitality Tourism and Events Management,2nd year,Western,4,Yes,From your personal  devices at home,1,4,4,5,Can contact with peers easily and enjoys group discussions,5,4,4,5,1,4
Uva Wellassa University ,Aquatic Resources Technology ,2nd year,Western,4,Yes,From your personal  devices at home,2,5,3,4,It's difficult to get to know and contact with peers from group discussions and social media groups,3,3,4,4,2,4
