Year,Current province that you follow online academic activities,EaseOfAccess,CommunicationFlexibility,ContentWorkload,Assesment,OverallSatisfaction
2nd year,Central,4,4,5,4,5
2nd year,Western,5,5,5,3,5
2nd year,Western,2,2,2,5,2
2nd year,Northern,5,5,4,4,5
2nd year,Southern,4,4,3,2,2
2nd year,Northern,4,2,4,3,3
1st year,Central,4,4,3,2,3
2nd year,Central,5,5,5,5,5
2nd year,Uva,5,4,4,5,4
2nd year,Western,4,4,3,4,5
2nd year,Uva,4,3,4,4,5
2nd year,Western,4,4,4,3,4
2nd year,North Western,3,2,3,3,5
2nd year,Central,5,4,5,5,5
2nd year,Western,4,3,3,3,3
2nd year,Northern,4,4,3,5,4
2nd year,Southern,3,5,5,4,4
2nd year,Northern,5,5,5,4,4
2nd year,Western,4,5,5,3,4
2nd year,Western,4,4,3,3,4
2nd year,North Central,5,3,4,2,3
2nd year,Northern,3,1,2,4,4
2nd year,Western,4,3,2,2,5
2nd year,Central,4,5,5,3,5
2nd year,Eastern,4,4,4,5,4
2nd year,North Western,5,5,5,5,5
2nd year,Uva,3,3,2,2,2
2nd year,Western,3,3,3,4,4
2nd year,Western,3,1,2,5,1
2nd year,Northern,4,3,3,4,4
2nd year,Western,5,5,5,5,5
2nd year,Western,4,3,3,2,3
2nd year,Western,5,5,4,4,5
2nd year,Western,5,3,5,4,5
2nd year,Southern,4,4,3,4,4
2nd year,North Western,5,3,2,4,4
2nd year,Uva,4,4,4,2,4
2nd year,Western,4,3,4,4,4
2nd year,Sabaragamuwa,5,5,5,4,5
2nd year,Western,4,5,5,4,4
2nd year,Southern,5,3,4,4,4
2nd year,Western,4,2,3,2,4
2nd year,Southern,4,2,2,3,5
2nd year,North Western,5,4,3,2,3
2nd year,Northern,5,5,5,5,5
2nd year,Uva,3,3,3,2,3
2nd year,Eastern,4,2,3,2,4
2nd year,Sabaragamuwa,5,4,4,3,3
2nd year,North Western,4,2,2,2,2
2nd year,Central,5,3,5,5,3
2nd year,Central,3,4,3,4,3
2nd year,Southern,5,5,5,4,5
2nd year,Central,5,3,3,2,5
2nd year,Uva,4,5,3,2,4
2nd year,Western,5,4,4,2,4
2nd year,Central,5,4,2,4,4
2nd year,Northern,4,4,3,3,4
2nd year,Western,4,4,4,3,4
2nd year,Northern,2,3,4,3,4
2nd year,Western,4,4,5,3,4
2nd year,North Western,4,4,4,2,3
2nd year,Sabaragamuwa,4,4,4,5,4
2nd year,Uva,4,2,3,2,5
2nd year,Northern,5,3,4,4,4
2nd year,Northern,4,4,3,3,3
2nd year,Southern,4,4,4,4,4
2nd year,Central,4,3,4,4,4
2nd year,Southern,4,5,4,4,4
2nd year,Western,4,4,3,4,3
2nd year,Northern,3,4,3,4,4
2nd year,Northern,5,3,4,3,4
2nd year,North Central,4,4,2,1,3
2nd year,Central,4,3,2,3,4
2nd year,Western,3,3,2,3,3
2nd year,Uva,5,4,5,4,4
1st year,Western,3,1,1,1,2
2nd year,Western,4,4,3,2,4
2nd year,North Central,5,3,4,4,4
2nd year,Western,5,3,3,2,1
2nd year,North Western,5,3,3,2,5
2nd year,Southern,5,5,5,5,4
2nd year,Eastern,5,5,5,5,5
2nd year,Western,5,4,4,4,5
2nd year,Sabaragamuwa,5,4,4,4,5
2nd year,Western,5,4,4,4,5
2nd year,Northern,5,4,4,4,5
2nd year,Central,4,2,3,2,3
2nd year,North Western,4,2,3,2,3
2nd year,Sabaragamuwa,2,2,3,3,3
2nd year,Northern,3,5,3,5,5
2nd year,Western,5,4,5,4,3
2nd year,Northern,4,5,4,4,4
